part_number,job,op,work_center,machine,setup_hr_est,setup_hr_act,run_hr_est,run_hr_act,run_min_pc_act,labor_rm_est,labor_rm_act,burden_hr,burden_rm,rate_rm_hr,qty,date
713-187739-236,10102R18,800,SAW,SAW MCH,0.10,0,,,3.30,,,,,72,60,04-Feb-26
713-187739-236,10102R18,10,CNCV MAK,CNCV MAK,0.08,0.80,,,3.30,,,,,123,60,04-Feb-26
713-187739-236,10102R18,20,DNM 5700 4X,DNM 5700 4X,1.50,1.50,,,36.0,,,37.5,5887.50,157,60,04-Feb-26
713-187739-236,10102R18,30,DNM 5700 4X,DNM 5700 4X,1.50,2.50,,,36.0,,,37.5,5887.50,157,60,04-Feb-26
713-187739-236,10102R18,810,DEBUR,DEBUR,0.10,0,,,2.29,,,,,72,60,04-Feb-26
713-187739-236,10102R18,820,ASSY,ASSY1,0.10,0,,,3.95,,,,,,60,04-Feb-26
