part_number,op,seq,feature_or_op,tool_name,tool_type,dia_mm,flutes,cut_len_mm,tool_len_mm,zmin_mm,feed_mm_min,feed_mm_rev,speed_rpm,stepover_mm,stepdown_mm,material,machine,source,cut_time_s,cut_min
16-408773-00,20,23,[i1] Blind Hole (Roughing),12 MMx120 DEG-2FL- S2DSO-120-12U GET CHAMFER MILL,chamfer_mill,12,4,6,40,,100,,4000,,,Polypropylene,Doosan DNM5700,kb_data_xlsx_2026-05-22,3,0.05
16-408773-00,20,24,[i1] Blind Hole (Roughing),12 MMx120 DEG-2FL- S2DSO-120-12U GET CHAMFER MILL,chamfer_mill,12,4,6,40,,100,,4000,,,Polypropylene,Doosan DNM5700,kb_data_xlsx_2026-05-22,3,0.05
16-408773-00,20,25,[i1] Blind Hole (Finishing),CARB DRILL 5.10MM,drill,5.1,2,25,35,,100,,1350,,,Polypropylene,Doosan DNM5700,kb_data_xlsx_2026-05-22,21,0.35
16-408773-00,20,26,[i1] Thread (Finishing),THREADMILL 10-32 X DIA 3.8 X NL22 - MYOOK,thread_mill,3.8,4,15,22,,350,,3500,,,Polypropylene,Doosan DNM5700,kb_data_xlsx_2026-05-22,95,1.583
16-408773-00,20,27,[i1] Blind Hole (Roughing),4MM CL10 -2FL ENDMILL GET,end_mill,4,2,10,30,,250,,5000,,,Polypropylene,Doosan DNM5700,kb_data_xlsx_2026-05-22,22,0.367
16-408773-00,20,28,[i1] Blind Hole (Finishing),3MM CL10 -2FL ENDMILL FULLERTON,end_mill,3,2,10,25,,350,,5000,,,Polypropylene,Doosan DNM5700,kb_data_xlsx_2026-05-22,13,0.217
713-A51655-001,10,1,Face (Roughing),6MM ROUGHING ENDMILL PCL590166 [FAP11336],end_mill,6,2,25,35,,2500,,13500,,,Polypropylene (PP),Anderson EXXACT PLUS/TC,kb_data_xlsx_2026-05-22,70,1.167
713-A51655-001,10,2,Face (Finishing),6MM ROUGHING ENDMILL PCL590166 [FAP11336],end_mill,6,2,25,35,,1200,,10000,,,Polypropylene (PP),Anderson EXXACT PLUS/TC,kb_data_xlsx_2026-05-22,28,0.467
713-A51655-001,10,3,Face (Roughing),3MM ENDMILL PCL590193 [FAP11334],end_mill,3,2,10,30,,650,,5000,,,Polypropylene (PP),Anderson EXXACT PLUS/TC,kb_data_xlsx_2026-05-22,10,0.167
713-A51655-001,10,4,Face (Roughing),3MM NC SPOT 90 DEG [S2DSO-090-030U],drill,3,2,5,30,,1200,,8000,,,Polypropylene (PP),Anderson EXXACT PLUS/TC,kb_data_xlsx_2026-05-22,28,0.467
713-A51655-001,20,1,Drilled Hole (Roughing),12MM NC SPOT 90 DEG 2F,drill,12,2,20,40,,200,,4000,,,Polypropylene (PP),Fanuc Robodrill M D21MiA,kb_data_xlsx_2026-05-22,1,0.017
713-A51655-001,20,2,Drilled Hole (Roughing),12MM NC SPOT 90 DEG 2F,drill,12,2,20,40,,200,,4000,,,Polypropylene (PP),Fanuc Robodrill M D21MiA,kb_data_xlsx_2026-05-22,1,0.017
713-A51655-001,20,3,Drilled Hole (Roughing),DRILL 5.20MM,drill,5.2,2,25,35,,150,,1350,,,Polypropylene (PP),Fanuc Robodrill M D21MiA,kb_data_xlsx_2026-05-22,4,0.067
713-A51655-001,20,4,Drilled Hole (Roughing),DRILL 5.20MM,drill,5.2,2,25,35,,150,,1350,,,Polypropylene (PP),Fanuc Robodrill M D21MiA,kb_data_xlsx_2026-05-22,4,0.067
713-A51655-001,20,5,Drilled Hole (Finishing),3MM ENDMILL 2F FINISHING,drill,3,2,8,20,,450,,5000,,,Polypropylene (PP),Fanuc Robodrill M D21MiA,kb_data_xlsx_2026-05-22,6,0.1
713-A51655-001,20,6,Drilled Hole (Finishing),3MM ENDMILL 2F FINISHING,drill,3,2,8,20,,450,,5000,,,Polypropylene (PP),Fanuc Robodrill M D21MiA,kb_data_xlsx_2026-05-22,6,0.1
713-142958-001,10,1,Lathe face (Roughing),CNGG120404-MJ HTi10,insert,,,,,,0.1,,1000,,,PEEK,Doosan LYNX 2100LSYB,kb_data_xlsx_2026-05-22,,
713-142958-001,10,2,Lathe OD (Roughing),CNGG120404-MJ HTi10,insert,,,,,,0.1,,1000,,,PEEK,Doosan LYNX 2100LSYB,kb_data_xlsx_2026-05-22,,
713-142958-001,10,3,Drilled Hole (Roughing),Ø12.0MM ENDMILL,insert,,,,,,150,,1000,,,PEEK,Doosan LYNX 2100LSYB,kb_data_xlsx_2026-05-22,,
713-142958-001,10,4,Lathe ID (Roughing),CCGT060202N-AG 10,insert,,,,,,0.1,,1000,,,PEEK,Doosan LYNX 2100LSYB,kb_data_xlsx_2026-05-22,,
713-142958-001,10,5,Lathe OD (Finishing),VCGX110302-LH,insert,,,,,,0.07,,1500,,,PEEK,Doosan LYNX 2100LSYB,kb_data_xlsx_2026-05-22,,
713-142958-001,10,6,Chamfer turn (Finishing),VCGX110302-LH,insert,,,,,,0.07,,1000,,,PEEK,Doosan LYNX 2100LSYB,kb_data_xlsx_2026-05-22,,
713-142958-001,10,7,Lathe ID (Finishing),CCGT060202N-AG 10,insert,,,,,,0.07,,1200,,,PEEK,Doosan LYNX 2100LSYB,kb_data_xlsx_2026-05-22,,
713-142958-001,10,9,Cut off,TKF12L100,insert,,,,,,0.08,,1000,,,PEEK,Doosan LYNX 2100LSYB,kb_data_xlsx_2026-05-22,,
713-142958-001,10,10,Lathe face (Finishing),VCGX110302-LH,insert,,,,,,0.3,,295,,,PEEK,Doosan LYNX 2100LSYB,kb_data_xlsx_2026-05-22,,
713-142958-001,10,11,Chamfer turn (Finishing),MBQR 0537 L25 R010,insert,,,,,,0.15,,1500,,,PEEK,Doosan LYNX 2100LSYB,kb_data_xlsx_2026-05-22,,
0023-12637,10,1,Lathe OD (Roughing),CNGG120404-MJ HTi10,insert,,,,,,0.2,,1200,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,10,2,Drilled Hole (Roughing),T-DRILL 32MM,drill,,,,,,0.07,,1800,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,10,3,Drilled Hole (Roughing),T-DRILL 32MM,drill,,,,,,0.07,,1800,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,10,4,Drilled Hole (Roughing),T-DRILL 32MM,drill,,,,,,0.07,,1800,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,10,5,Drilled Hole (Roughing),T-DRILL 32MM,drill,,,,,,0.07,,1800,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,10,6,Drilled Hole (Roughing),T-DRILL 32MM,drill,,,,,,0.07,,1800,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,10,7,Drilled Hole (Roughing),T-DRILL 32MM,drill,,,,,,0.07,,1800,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,10,8,Lathe ID (Roughing),VCGX110302-LH,insert,,,,,,0.25,,1800,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,10,9,Lathe OD (Finishing),VCGX110302-LH,insert,,,,,,0.07,,1500,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,10,10,Lathe ID (Finishing),VCGX110302-LH,insert,,,,,,0.07,,1600,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,10,11,,MGGN300R 15R PCD,insert,,,,,,0.07,,2000,,,Polypropylene (PP),Nakamura-Tome SC-300,kb_data_xlsx_2026-05-22,,
0023-12637,20,1,Lathe OD (Roughing),CNGG120404-MJ HTi10,insert,,,,,,0.2,,1000,,,Polypropylene (PP),Takisawa NEX-108Y,kb_data_xlsx_2026-05-22,,
0023-12637,20,2,Lathe OD (Finishing),VCGX110302-LH,insert,,,,,,0.07,,1500,,,Polypropylene (PP),Takisawa NEX-108Y,kb_data_xlsx_2026-05-22,,
0023-12637,20,3,Through Hole (Finishing),E143-0 Ø3.0MM FLAT ENDMILL,end_mill,3,4,50,60,,200,,1600,,,Polypropylene (PP),Takisawa NEX-108Y,kb_data_xlsx_2026-05-22,,
0023-12637,20,4,Through Hole (Finishing),E143-0 Ø3.0MM FLAT ENDMILL,end_mill,3,4,50,60,,200,,1600,,,Polypropylene (PP),Takisawa NEX-108Y,kb_data_xlsx_2026-05-22,,
0022-42143,9,1,Face (Roughing),10MM ROUGHING ENDMILL PCL590167 [FAP11335],end_mill,10,2,35,40,,3500,,13500,,,PEEK,Anderson EXXACT PLUS/TC,kb_data_xlsx_2026-05-22,168,2.8
0022-42143,9,2,Face (Finishing),3MM NC SPOT 90 DEG [S2DSO-090-030U],drill,3,2,5,30,,1500,,8000,,,PEEK,Anderson EXXACT PLUS/TC,kb_data_xlsx_2026-05-22,26,0.433
0022-42143,10,1,Face (Roughing),50mm FACEMILL MITSUBISHI 4F,face_mill,50,4,17,50,,800,,5000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,64,1.067
0022-42143,10,2,Through Hole (Roughing),12mm SPOTDRILL 90 DEG DURA,drill,12,2,6,50.8,,400,,4000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,1,0.017
0022-42143,10,3,Through Hole (Roughing),5MM DRILL,drill,5,2,25,40,,120,,1200,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,13,0.217
0022-42143,10,4,Through Hole (Roughing),6mm FLAT ENDMILL DURA 2F,end_mill,6,2,20,30,,100,,1000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,7,0.117
0022-42143,10,5,Through Hole (Finishing),6mm FLAT ENDMILL DURA 2F,end_mill,6,2,20,30,,100,,3000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,41,0.683
0022-42143,10,6,Counterbore (Finishing),6mm FLAT ENDMILL DURA 2F,end_mill,6,2,20,30,,100,,3000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,94,1.567
0022-42143,10,7, (Finishing),10mm FLAT ENDMILL DURA 2F,end_mill,10,2,20,40,,800,,6000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,68,1.133
0022-42143,10,8,Radius (Finishing),RADIUS CUTTER R3 TIP1.5XSD8MM CARBIDE,radius_mill,1.5,4,3,40,,200,,4000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,46,0.767
0022-42143,10,9,Chamfer (Finishing),3mm CHAMFERMILL 90 DEG DURA,chamfer_mill,3,2,1.5,30.5,,500,,8000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,4,0.067
0022-42143,10,10,Chamfer (Finishing),3mm CHAMFERMILL 90 DEG DURA,chamfer_mill,3,2,1.5,30.5,,500,,8000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,5,0.083
0022-42143,10,11,Chamfer (Finishing),3mm CHAMFERMILL 90 DEG DURA,chamfer_mill,3,2,1.5,30.5,,500,,8000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,9,0.15
0022-42143,20,1,Face (Finishing),50mm FACEMILL MITSUBISHI 4F,face_mill,50,4,17,50,,800,,5000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,28,0.467
0022-42143,20,2,Counterbore (Finishing),3mm FLAT ENDMILL DURA 2F,end_mill,3,2,8,25.4,,100,,3000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,225,3.75
0022-42143,20,3,Chamfer (Finishing),12mm SPOTDRILL 90 DEG DURA,drill,12,2,6,50.8,,400,,4000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,3,0.05
0022-42143,20,4,Chamfer (Finishing),3mm CHAMFERMILL 90 DEG DURA,chamfer_mill,3,2,1.5,30.5,,500,,8000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,5,0.083
0022-42143,20,5,Chamfer (Finishing),3mm CHAMFERMILL 90 DEG DURA,chamfer_mill,3,2,1.5,30.5,,500,,8000,,,PEEK,Fanuc Robodrill M A-D21Lib,kb_data_xlsx_2026-05-22,23,0.383
